byte,input,output,counter_before,lfsr_before,positions_before,step_mask,center_mask,center_input,center_output,counter_after,lfsr_after,positions_after
405,18,2a,0000000000000195,66088edccde4f7c1,0788e97d,00,01,9a,9b,0000000000000196,eb04476e66f27be0,0788e97d
406,a3,0d,0000000000000196,eb04476e66f27be0,0788e97d,0c,d2,ea,38,0000000000000197,758223b733793df0,0788ea7e
407,6a,6e,0000000000000197,758223b733793df0,0788ea7e,00,b6,ae,18,0000000000000198,3ac111db99bc9ef8,0788ea7e
408,3e,4f,0000000000000198,3ac111db99bc9ef8,0788ea7e,0b,d4,e7,33,0000000000000199,1d6088edccde4f7c,0889ea7f
409,c7,1b,0000000000000199,1d6088edccde4f7c,0889ea7f,08,c1,65,a4,000000000000019a,0eb04476e66f27be,0889ea80
410,8c,f7,000000000000019a,0eb04476e66f27be,0889ea80,0c,75,a7,d2,000000000000019b,0758223b733793df,0889eb81
411,55,44,000000000000019b,0758223b733793df,0889eb81,03,30,a0,90,000000000000019c,dbac111db99bc9ef,098aeb81
412,1b,84,000000000000019c,dbac111db99bc9ef,098aeb81,05,28,99,b1,000000000000019d,b5d6088edccde4f7,0a8aec81
413,a2,ff,000000000000019d,b5d6088edccde4f7,0a8aec81,04,29,13,3a,000000000000019e,82eb04476e66f27b,0a8aed81
414,69,59,000000000000019e,82eb04476e66f27b,0a8aed81,0a,91,83,12,000000000000019f,99758223b733793d,0a8bed82
415,30,d1,000000000000019f,99758223b733793d,0a8bed82,0a,59,99,c0,00000000000001a0,94bac111db99bc9e,0a8ced83
416,c8,25,00000000000001a0,94bac111db99bc9e,0a8ced83,03,10,ba,aa,00000000000001a1,4a5d6088edccde4f,0b8ded83
417,81,a8,00000000000001a1,4a5d6088edccde4f,0b8ded83,01,28,6d,45,00000000000001a2,fd2eb04476e66f27,0c8ded83
418,5a,8a,00000000000001a2,fd2eb04476e66f27,0c8ded83,0f,e9,bc,55,00000000000001a3,a69758223b733793,0d8eee84
419,13,8f,00000000000001a3,a69758223b733793,0d8eee84,09,2a,8d,a7,00000000000001a4,8b4bac111db99bc9,0e8eee85
420,ad,8a,00000000000001a4,8b4bac111db99bc9,0e8eee85,09,87,eb,6c,00000000000001a5,9da5d6088edccde4,0f8eee86
421,64,e2,00000000000001a5,9da5d6088edccde4,0f8eee86,0c,e4,23,c7,00000000000001a6,4ed2eb04476e66f2,0f8eef87
422,3f,94,00000000000001a6,4ed2eb04476e66f2,0f8eef87,06,e4,e7,03,00000000000001a7,2769758223b73379,0f8ff087
423,f6,41,00000000000001a7,2769758223b73379,0f8ff087,07,29,c9,e0,00000000000001a8,cbb4bac111db99bc,1090f187
424,82,6b,00000000000001a8,cbb4bac111db99bc,1090f187,05,fb,cb,30,00000000000001a9,65da5d6088edccde,1190f287
425,5b,58,00000000000001a9,65da5d6088edccde,1190f287,0b,47,a9,ee,00000000000001aa,32ed2eb04476e66f,1291f288
426,10,d2,00000000000001aa,32ed2eb04476e66f,1291f288,0b,2a,a4,8e,00000000000001ab,c1769758223b7337,1392f289
427,a9,1e,00000000000001ab,c1769758223b7337,1392f289,06,3a,1b,21,00000000000001ac,b8bb4bac111db99b,1393f389
428,67,1f,00000000000001ac,b8bb4bac111db99b,1393f389,01,fb,49,b2,00000000000001ad,845da5d6088edccd,1493f389
429,3e,cb,00000000000001ad,845da5d6088edccd,1493f389,06,4c,2e,62,00000000000001ae,9a2ed2eb04476e66,1494f489
430,f5,9b,00000000000001ae,9a2ed2eb04476e66,1494f489,00,52,d5,87,00000000000001af,4d1769758223b733,1494f489
431,8c,96,00000000000001af,4d1769758223b733,1494f489,0b,18,83,9b,00000000000001b0,fe8bb4bac111db99,1595f48a
432,5c,11,00000000000001b0,fe8bb4bac111db99,1595f48a,09,75,1a,6f,00000000000001b1,a745da5d6088edcc,1695f48b
433,15,36,00000000000001b1,a745da5d6088edcc,1695f48b,03,29,58,71,00000000000001b2,53a2ed2eb04476e6,1796f48b
434,ae,ac,00000000000001b2,53a2ed2eb04476e6,1796f48b,02,60,5a,3a,00000000000001b3,29d1769758223b73,1797f48b
435,67,ff,00000000000001b3,29d1769758223b73,1797f48b,0a,a3,76,d5,00000000000001b4,cce8bb4bac111db9,1798f48c
436,39,e7,00000000000001b4,cce8bb4bac111db9,1798f48c,00,fb,d0,2b,00000000000001b5,be745da5d6088edc,1798f48c
437,f0,13,00000000000001b5,be745da5d6088edc,1798f48c,09,95,83,16,00000000000001b6,5f3a2ed2eb04476e,1898f48d
438,8b,45,00000000000001b6,5f3a2ed2eb04476e,1898f48d,02,9e,91,0f,00000000000001b7,2f9d1769758223b7,1899f48d
439,42,f3,00000000000001b7,2f9d1769758223b7,1899f48d,0d,a6,74,d2,00000000000001b8,cfce8bb4bac111db,1999f58e
440,16,13,00000000000001b8,cfce8bb4bac111db,1999f58e,06,8b,a9,22,00000000000001b9,bfe745da5d6088ed,199af68e
441,af,a6,00000000000001b9,bfe745da5d6088ed,199af68e,01,43,c5,86,00000000000001ba,87f3a2ed2eb04476,1a9af68e
442,64,45,00000000000001ba,87f3a2ed2eb04476,1a9af68e,01,0d,d7,da,00000000000001bb,43f9d1769758223b,1b9af68e
443,3d,a3,00000000000001bb,43f9d1769758223b,1b9af68e,0e,7f,47,38,00000000000001bc,f9fce8bb4bac111d,1b9bf78f
444,f3,76,00000000000001bc,f9fce8bb4bac111d,1b9bf78f,02,38,e9,d1,00000000000001bd,a4fe745da5d6088e,1b9cf78f
445,8a,b7,00000000000001bd,a4fe745da5d6088e,1b9cf78f,07,8f,c6,49,00000000000001be,527f3a2ed2eb0447,1c9df88f
446,41,2f,00000000000001be,527f3a2ed2eb0447,1c9df88f,04,c3,3b,f8,00000000000001bf,f13f9d1769758223,1c9df98f
447,18,c9,00000000000001bf,f13f9d1769758223,1c9df98f,08,e3,fc,1f,00000000000001c0,a09fce8bb4bac111,1c9df990
448,b0,f7,00000000000001c0,a09fce8bb4bac111,1c9df990,09,6a,46,2c,00000000000001c1,884fe745da5d6088,1d9df991
449,79,6e,00000000000001c1,884fe745da5d6088,1d9df991,09,64,72,16,00000000000001c2,4427f3a2ed2eb044,1e9df992
450,22,94,00000000000001c2,4427f3a2ed2eb044,1e9df992,05,8b,52,d9,00000000000001c3,2213f9d176975822,1f9dfa92
451,eb,14,00000000000001c3,2213f9d176975822,1f9dfa92,0e,b0,e4,54,00000000000001c4,1109fce8bb4bac11,1f9efb93
452,95,0d,00000000000001c4,1109fce8bb4bac11,1f9efb93,07,ea,0d,e7,00000000000001c5,d084fe745da5d608,209ffc93
453,5c,a8,00000000000001c5,d084fe745da5d608,209ffc93,0c,3d,f3,ce,00000000000001c6,68427f3a2ed2eb04,209ffd94
454,07,98,00000000000001c6,68427f3a2ed2eb04,209ffd94,09,1c,50,4c,00000000000001c7,34213f9d17697582,219ffd95
455,ce,7b,00000000000001c7,34213f9d17697582,219ffd95,0f,d7,b9,6e,00000000000001c8,1a109fce8bb4bac1,22a0fe96
456,7a,a4,00000000000001c8,1a109fce8bb4bac1,22a0fe96,06,c2,ce,0c,00000000000001c9,d5084fe745da5d60,22a1ff96
457,23,73,00000000000001c9,d5084fe745da5d60,22a1ff96,0c,21,f2,d3,00000000000001ca,6a8427f3a2ed2eb0,22a10097
458,e8,94,00000000000001ca,6a8427f3a2ed2eb0,22a10097,01,90,03,93,00000000000001cb,354213f9d1769758,23a10097
459,91,1d,00000000000001cb,354213f9d1769758,23a10097,08,e8,34,dc,00000000000001cc,1aa109fce8bb4bac,23a10098
460,5f,e3,00000000000001cc,1aa109fce8bb4bac,23a10098,0a,44,bf,fb,00000000000001cd,0d5084fe745da5d6,23a20099
461,06,5d,00000000000001cd,0d5084fe745da5d6,23a20099,03,7d,5e,23,00000000000001ce,06a8427f3a2ed2eb,24a30099
462,cd,89,00000000000001ce,06a8427f3a2ed2eb,24a30099,0f,3a,d8,e2,00000000000001cf,db54213f9d176975,25a4019a
463,74,06,00000000000001cf,db54213f9d176975,25a4019a,06,20,a7,87,00000000000001d0,b5aa109fce8bb4ba,25a5029a
464,24,0f,00000000000001d0,b5aa109fce8bb4ba,25a5029a,03,1a,79,63,00000000000001d1,5ad5084fe745da5d,26a6029a
465,ed,a1,00000000000001d1,5ad5084fe745da5d,26a6029a,03,35,1d,28,00000000000001d2,f56a8427f3a2ed2e,27a7029a
466,96,5e,00000000000001d2,f56a8427f3a2ed2e,27a7029a,06,46,c7,81,00000000000001d3,7ab54213f9d17697,27a8039a
467,5f,78,00000000000001d3,7ab54213f9d17697,27a8039a,0d,16,70,66,00000000000001d4,e55aa109fce8bb4b,28a8049b
468,01,61,00000000000001d4,e55aa109fce8bb4b,28a8049b,09,7a,f4,8e,00000000000001d5,aaad5084fe745da5,29a8049c
469,c8,74,00000000000001d5,aaad5084fe745da5,29a8049c,04,e3,3b,d8,00000000000001d6,8d56a8427f3a2ed2,29a8059c
470,73,fc,00000000000001d6,8d56a8427f3a2ed2,29a8059c,03,4d,9e,d3,00000000000001d7,46ab54213f9d1769,2aa9059c
471,3a,32,00000000000001d7,46ab54213f9d1769,2aa9059c,08,f1,4c,bd,00000000000001d8,fb55aa109fce8bb4,2aa9059d
472,ee,27,00000000000001d8,fb55aa109fce8bb4,2aa9059d,09,04,56,52,00000000000001d9,7daad5084fe745da,2ba9059e
473,97,6d,00000000000001d9,7daad5084fe745da,2ba9059e,06,4f,6b,24,00000000000001da,3ed56a8427f3a2ed,2baa069e
474,5c,2b,00000000000001da,3ed56a8427f3a2ed,2baa069e,0a,61,64,05,00000000000001db,c76ab54213f9d176,2bab069f
475,05,e1,00000000000001db,c76ab54213f9d176,2bab069f,07,d9,99,40,00000000000001dc,63b55aa109fce8bb,2cac079f
476,cb,6d,00000000000001dc,63b55aa109fce8bb,2cac079f,06,32,c1,f3,00000000000001dd,e9daad5084fe745d,2cad089f
477,72,17,00000000000001dd,e9daad5084fe745d,2cad089f,03,85,9b,1e,00000000000001de,aced56a8427f3a2e,2dae089f
478,39,db,00000000000001de,aced56a8427f3a2e,2dae089f,0b,54,8e,da,00000000000001df,5676ab54213f9d17,2eaf08a0
479,e0,3f,00000000000001df,5676ab54213f9d17,2eaf08a0,05,68,e0,88,00000000000001e0,f33b55aa109fce8b,2faf09a0
480,98,da,00000000000001e0,f33b55aa109fce8b,2faf09a0,02,98,61,f9,00000000000001e1,a19daad5084fe745,2fb009a0
481,51,4c,00000000000001e1,a19daad5084fe745,2fb009a0,01,79,97,ee,00000000000001e2,88ced56a8427f3a2,30b009a0
482,0a,fc,00000000000001e2,88ced56a8427f3a2,30b009a0,07,34,01,35,00000000000001e3,44676ab54213f9d1,31b10aa0
483,c3,68,00000000000001e3,44676ab54213f9d1,31b10aa0,05,f1,7d,8c,00000000000001e4,fa33b55aa109fce8,32b10ba0
484,7d,4e,00000000000001e4,fa33b55aa109fce8,32b10ba0,0b,9d,dd,40,00000000000001e5,7d19daad5084fe74,33b20ba1
485,34,12,00000000000001e5,7d19daad5084fe74,33b20ba1,04,e4,8f,6b,00000000000001e6,3e8ced56a8427f3a,33b20ca1
486,ef,b8,00000000000001e6,3e8ced56a8427f3a,33b20ca1,09,3f,fe,c1,00000000000001e7,1f4676ab54213f9d,34b20ca2
487,a6,f8,00000000000001e7,1f4676ab54213f9d,34b20ca2,0d,b7,6c,db,00000000000001e8,d7a33b55aa109fce,35b20da3
488,52,ac,00000000000001e8,d7a33b55aa109fce,35b20da3,01,88,36,be,00000000000001e9,6bd19daad5084fe7,36b20da3
489,0b,4d,00000000000001e9,6bd19daad5084fe7,36b20da3,06,11,02,13,00000000000001ea,ede8ced56a8427f3,36b30ea3
490,c0,6d,00000000000001ea,ede8ced56a8427f3,36b30ea3,01,5f,06,59,00000000000001eb,aef4676ab54213f9,37b30ea3
491,79,e1,00000000000001eb,aef4676ab54213f9,37b30ea3,0d,70,9c,ec,00000000000001ec,8f7a33b55aa109fc,38b30fa4
492,37,ed,00000000000001ec,8f7a33b55aa109fc,38b30fa4,08,0e,0d,03,00000000000001ed,47bd19daad5084fe,38b30fa5
493,ee,e4,00000000000001ed,47bd19daad5084fe,38b30fa5,06,75,ca,bf,00000000000001ee,23de8ced56a8427f,38b410a5
494,a5,8b,00000000000001ee,23de8ced56a8427f,38b410a5,06,76,62,14,00000000000001ef,c9ef4676ab54213f,38b511a5
495,5c,d9,00000000000001ef,c9ef4676ab54213f,38b511a5,05,22,90,b2,00000000000001f0,bcf7a33b55aa109f,39b512a5
496,0c,70,00000000000001f0,bcf7a33b55aa109f,39b512a5,0d,66,57,31,00000000000001f1,867bd19daad5084f,3ab513a6
497,c5,65,00000000000001f1,867bd19daad5084f,3ab513a6,01,86,b5,33,00000000000001f2,9b3de8ced56a8427,3bb513a6
498,7e,68,00000000000001f2,9b3de8ced56a8427,3bb513a6,0a,6f,96,f9,00000000000001f3,959ef4676ab54213,3bb613a7
499,37,8c,00000000000001f3,959ef4676ab54213,3bb613a7,05,fe,08,f6,00000000000001f4,92cf7a33b55aa109,3cb614a7
500,e9,13,00000000000001f4,92cf7a33b55aa109,3cb614a7,0b,35,c6,f3,00000000000001f5,9167bd19daad5084,3db714a8
501,a0,67,00000000000001f5,9167bd19daad5084,3db714a8,03,54,48,1c,00000000000001f6,48b3de8ced56a842,3eb814a8
502,5b,b8,00000000000001f6,48b3de8ced56a842,3eb814a8,0e,76,73,05,00000000000001f7,2459ef4676ab5421,3eb915a9
503,12,9f,00000000000001f7,2459ef4676ab5421,3eb915a9,0b,6b,de,b5,00000000000001f8,ca2cf7a33b55aa10,3fba15aa
504,c6,ec,00000000000001f8,ca2cf7a33b55aa10,3fba15aa,01,a6,bb,1d,00000000000001f9,65167bd19daad508,40ba15aa
505,7f,1a,00000000000001f9,65167bd19daad508,40ba15aa,03,41,ac,ed,00000000000001fa,328b3de8ced56a84,41bb15aa
506,34,26,00000000000001fa,328b3de8ced56a84,41bb15aa,03,dc,a7,7b,00000000000001fb,19459ef4676ab542,42bc15aa
507,ed,45,00000000000001fb,19459ef4676ab542,42bc15aa,07,fb,cf,34,00000000000001fc,0ca2cf7a33b55aa1,43bd16aa
508,a3,ca,00000000000001fc,0ca2cf7a33b55aa1,43bd16aa,01,3c,51,6d,00000000000001fd,de5167bd19daad50,44bd16aa
509,5a,df,00000000000001fd,de5167bd19daad50,44bd16aa,09,f2,74,86,00000000000001fe,6f28b3de8ced56a8,45bd16ab
510,11,a4,00000000000001fe,6f28b3de8ced56a8,45bd16ab,03,82,fc,7e,00000000000001ff,379459ef4676ab54,46be16ab
511,c8,d9,00000000000001ff,379459ef4676ab54,46be16ab,02,30,72,42,0000000000000200,1bca2cf7a33b55aa,46bf16ab
512,80,49,0000000000000200,1bca2cf7a33b55aa,46bf16ab,0a,e0,9b,7b,0000000000000201,0de5167bd19daad5,46c016ac
513,c9,3a,0000000000000201,0de5167bd19daad5,46c016ac,00,73,ca,b9,0000000000000202,def28b3de8ced56a,46c016ac
514,12,22,0000000000000202,def28b3de8ced56a,46c016ac,00,20,a4,84,0000000000000203,6f79459ef4676ab5,46c016ac
515,5b,db,0000000000000203,6f79459ef4676ab5,46c016ac,09,7c,03,7f,0000000000000204,efbca2cf7a33b55a,47c016ad
516,a5,56,0000000000000204,efbca2cf7a33b55a,47c016ad,00,c8,df,17,0000000000000205,77de5167bd19daad,47c016ad
517,ec,b7,0000000000000205,77de5167bd19daad,47c016ad,04,8e,d1,5f,0000000000000206,e3ef28b3de8ced56,47c017ad
518,37,c8,0000000000000206,e3ef28b3de8ced56,47c017ad,05,ee,64,8a,0000000000000207,71f79459ef4676ab,48c018ad
519,7e,ee,0000000000000207,71f79459ef4676ab,48c018ad,02,af,27,88,0000000000000208,e0fbca2cf7a33b55,48c118ad
520,ca,50,0000000000000208,e0fbca2cf7a33b55,48c118ad,02,f3,24,d7,0000000000000209,a87de5167bd19daa,48c218ad
521,13,67,0000000000000209,a87de5167bd19daa,48c218ad,0e,79,7e,07,000000000000020a,543ef28b3de8ced5,48c319ae
522,58,b1,000000000000020a,543ef28b3de8ced5,48c319ae,0d,be,44,fa,000000000000020b,f21f79459ef4676a,49c31aaf
523,a1,74,000000000000020b,f21f79459ef4676a,49c31aaf,02,13,bd,ae,000000000000020c,790fbca2cf7a33b5,49c41aaf
524,ef,91,000000000000020c,790fbca2cf7a33b5,49c41aaf,03,ca,fa,30,000000000000020d,e487de5167bd19da,4ac51aaf
525,36,81,000000000000020d,e487de5167bd19da,4ac51aaf,04,59,0a,53,000000000000020e,7243ef28b3de8ced,4ac51baf
526,7d,85,000000000000020e,7243ef28b3de8ced,4ac51baf,05,d1,be,6f,000000000000020f,e121f79459ef4676,4bc51caf
527,c4,76,000000000000020f,e121f79459ef4676,4bc51caf,03,c1,18,d9,0000000000000210,7090fbca2cf7a33b,4cc61caf
528,14,ea,0000000000000210,7090fbca2cf7a33b,4cc61caf,0f,28,f0,d8,0000000000000211,e0487de5167bd19d,4dc71db0
529,5d,c7,0000000000000211,e0487de5167bd19d,4dc71db0,02,65,6a,0f,0000000000000212,a8243ef28b3de8ce,4dc81db0
530,a6,c8,0000000000000212,a8243ef28b3de8ce,4dc81db0,00,ab,11,ba,0000000000000213,54121f79459ef467,4dc81db0
531,ef,d6,0000000000000213,54121f79459ef467,4dc81db0,0e,d2,97,45,0000000000000214,f2090fbca2cf7a33,4dc91eb1
532,31,cd,0000000000000214,f2090fbca2cf7a33,4dc91eb1,02,ac,b1,1d,0000000000000215,a10487de5167bd19,4dca1eb1
533,78,b1,0000000000000215,a10487de5167bd19,4dca1eb1,0d,08,ae,a6,0000000000000216,888243ef28b3de8c,4eca1fb2
534,c3,3a,0000000000000216,888243ef28b3de8c,4eca1fb2,07,66,1d,7b,0000000000000217,444121f79459ef46,4fcb20b2
535,0a,10,0000000000000217,444121f79459ef46,4fcb20b2,08,ec,f3,1f,0000000000000218,222090fbca2cf7a3,4fcb20b3
536,5e,78,0000000000000218,222090fbca2cf7a3,4fcb20b3,0e,7a,ba,c0,0000000000000219,c910487de5167bd1,4fcc21b4
537,a7,f8,0000000000000219,c910487de5167bd1,4fcc21b4,04,71,8a,fb,000000000000021a,bc88243ef28b3de8,4fcc22b4
538,ec,cc,000000000000021a,bc88243ef28b3de8,4fcc22b4,0a,19,b4,ad,000000000000021b,5e44121f79459ef4,4fcd22b5
539,35,c3,000000000000021b,5e44121f79459ef4,4fcd22b5,00,e1,d5,34,000000000000021c,2f22090fbca2cf7a,4fcd22b5
540,7b,a5,000000000000021c,2f22090fbca2cf7a,4fcd22b5,0d,7e,71,0f,000000000000021d,17910487de5167bd,50cd23b6
541,c2,1e,000000000000021d,17910487de5167bd,50cd23b6,0d,87,d3,54,000000000000021e,d3c88243ef28b3de,51cd24b7
542,09,87,000000000000021e,d3c88243ef28b3de,51cd24b7,04,d3,9e,4d,000000000000021f,69e44121f79459ef,51cd25b7
543,50,2f,000000000000021f,69e44121f79459ef,51cd25b7,08,ee,da,34,0000000000000220,ecf22090fbca2cf7,51cd25b8
544,a8,6b,0000000000000220,ecf22090fbca2cf7,51cd25b8,04,04,77,73,0000000000000221,ae7910487de5167b,51cd26b8
545,e1,d4,0000000000000221,ae7910487de5167b,51cd26b8,05,6e,c0,ae,0000000000000222,8f3c88243ef28b3d,52cd27b8
546,3a,0c,0000000000000222,8f3c88243ef28b3d,52cd27b8,08,96,d8,4e,0000000000000223,9f9e44121f79459e,52cd27b9
547,73,fc,0000000000000223,9f9e44121f79459e,52cd27b9,0e,15,b9,ac,0000000000000224,4fcf22090fbca2cf,52ce28ba
548,cd,3e,0000000000000224,4fcf22090fbca2cf,52ce28ba,0c,6f,63,0c,0000000000000225,ffe7910487de5167,52ce29bb
549,04,97,0000000000000225,ffe7910487de5167,52ce29bb,07,5d,a5,f8,0000000000000226,a7f3c88243ef28b3,53cf2abb
550,5f,11,0000000000000226,a7f3c88243ef28b3,53cf2abb,00,be,06,b8,0000000000000227,8bf9e44121f79459,53cf2abb
551,96,a8,0000000000000227,8bf9e44121f79459,53cf2abb,07,03,08,0b,0000000000000228,9dfcf22090fbca2c,54d02bbb
552,e2,ec,0000000000000228,9dfcf22090fbca2c,54d02bbb,0c,18,4b,53,0000000000000229,4efe7910487de516,54d02cbc
553,3b,07,0000000000000229,4efe7910487de516,54d02cbc,01,a2,78,da,000000000000022a,277f3c88243ef28b,55d02cbc
554,70,31,000000000000022a,277f3c88243ef28b,55d02cbc,0e,ae,a2,0c,000000000000022b,cbbf9e44121f7945,55d12dbd
555,c9,68,000000000000022b,cbbf9e44121f7945,55d12dbd,07,51,dd,8c,000000000000022c,bddfcf22090fbca2,56d22ebd
556,07,9d,000000000000022c,bddfcf22090fbca2,56d22ebd,04,90,57,c7,000000000000022d,5eefe7910487de51,56d22fbd
557,5e,6a,000000000000022d,5eefe7910487de51,56d22fbd,05,7f,c6,b9,000000000000022e,f777f3c88243ef28,57d230bd
558,95,c2,000000000000022e,f777f3c88243ef28,57d230bd,03,1b,b2,a9,000000000000022f,7bbbf9e44121f794,58d330bd
559,ec,1f,000000000000022f,7bbbf9e44121f794,58d330bd,05,40,9d,dd,0000000000000230,3dddfcf22090fbca,59d331bd
560,3c,d0,0000000000000230,3dddfcf22090fbca,59d331bd,06,cd,d0,1d,0000000000000231,1eeefe7910487de5,59d432bd
561,75,0b,0000000000000231,1eeefe7910487de5,59d432bd,0f,1d,a5,b8,0000000000000232,d7777f3c88243ef2,5ad533be
562,ce,e0,0000000000000232,d7777f3c88243ef2,5ad533be,06,65,5b,3e,0000000000000233,6bbbbf9e44121f79,5ad634be
563,07,af,0000000000000233,6bbbbf9e44121f79,5ad634be,06,7f,0a,75,0000000000000234,eddddfcf22090fbc,5ad735be
564,59,40,0000000000000234,eddddfcf22090fbc,5ad735be,03,9a,cd,57,0000000000000235,76eeefe7910487de,5bd835be
565,90,aa,0000000000000235,76eeefe7910487de,5bd835be,02,37,ff,c8,0000000000000236,3b7777f3c88243ef,5bd935be
566,eb,ab,0000000000000236,3b7777f3c88243ef,5bd935be,0b,be,67,d9,0000000000000237,c5bbbbf9e44121f7,5cda35bf
567,22,dc,0000000000000237,c5bbbbf9e44121f7,5cda35bf,0b,9f,47,d8,0000000000000238,baddddfcf22090fb,5ddb35c0
568,76,40,0000000000000238,baddddfcf22090fb,5ddb35c0,02,0b,a4,af,0000000000000239,856eeefe7910487d,5ddc35c0
569,cf,5e,0000000000000239,856eeefe7910487d,5ddc35c0,03,3e,4a,74,000000000000023a,9ab7777f3c88243e,5edd35c0
570,04,05,000000000000023a,9ab7777f3c88243e,5edd35c0,00,14,7d,69,000000000000023b,4d5bbbbf9e44121f,5edd35c0
571,5d,df,000000000000023b,4d5bbbbf9e44121f,5edd35c0,05,bd,58,e5,000000000000023c,feaddddfcf22090f,5fdd36c0
572,93,2c,000000000000023c,feaddddfcf22090f,5fdd36c0,07,6f,a3,cc,000000000000023d,a756eeefe7910487,60de37c0
573,ea,4a,000000000000023d,a756eeefe7910487,60de37c0,0c,02,fa,f8,000000000000023e,8bab7777f3c88243,60de38c1
574,21,5b,000000000000023e,8bab7777f3c88243,60de38c1,0b,6a,ab,c1,000000000000023f,9dd5bbbbf9e44121,61df38c2
575,78,16,000000000000023f,9dd5bbbbf9e44121,61df38c2,0c,4e,1f,51,0000000000000240,96eaddddfcf22090,61df39c3
576,d0,43,0000000000000240,96eaddddfcf22090,61df39c3,01,28,69,41,0000000000000241,4b756eeefe791048,62df39c3
577,19,87,0000000000000241,4b756eeefe791048,62df39c3,0d,bf,f4,4b,0000000000000242,25bab7777f3c8824,63df3ac4
578,42,d2,0000000000000242,25bab7777f3c8824,63df3ac4,08,33,0e,3d,0000000000000243,12dd5bbbbf9e4412,63df3ac5
579,8b,20,0000000000000243,12dd5bbbbf9e4412,63df3ac5,0a,ec,ce,22,0000000000000244,096eaddddfcf2209,63e03ac6
580,f5,85,0000000000000244,096eaddddfcf2209,63e03ac6,0e,36,85,b3,0000000000000245,dcb756eeefe79104,63e13bc7
581,3c,45,0000000000000245,dcb756eeefe79104,63e13bc7,02,f0,f4,04,0000000000000246,6e5bab7777f3c882,63e23bc7
582,67,0c,0000000000000246,6e5bab7777f3c882,63e23bc7,02,71,4e,3f,0000000000000247,372dd5bbbbf9e441,63e33bc7
583,ae,3d,0000000000000247,372dd5bbbbf9e441,63e33bc7,09,0b,fa,f1,0000000000000248,c396eaddddfcf220,64e33bc8
584,1a,48,0000000000000248,c396eaddddfcf220,64e33bc8,09,ff,a6,59,0000000000000249,61cb756eeefe7910,65e33bc9
585,43,53,0000000000000249,61cb756eeefe7910,65e33bc9,09,86,1b,9d,000000000000024a,30e5bab7777f3c88,66e33bca
586,88,c8,000000000000024a,30e5bab7777f3c88,66e33bca,0a,cb,d8,13,000000000000024b,1872dd5bbbbf9e44,66e43bcb
587,f1,81,000000000000024b,1872dd5bbbbf9e44,66e43bcb,08,d9,54,8d,000000000000024c,0c396eaddddfcf22,66e43bcc
588,3f,d9,000000000000024c,0c396eaddddfcf22,66e43bcc,03,2d,ef,c2,000000000000024d,061cb756eeefe791,67e53bcc
589,66,2d,000000000000024d,061cb756eeefe791,67e53bcc,09,0b,01,0a,000000000000024e,db0e5bab7777f3c8,68e53bcd
590,ad,b4,000000000000024e,db0e5bab7777f3c8,68e53bcd,0a,0a,54,5e,000000000000024f,6d872dd5bbbbf9e4,68e63bce
591,14,2f,000000000000024f,6d872dd5bbbbf9e4,68e63bce,0d,16,8a,9c,0000000000000250,36c396eaddddfcf2,69e63ccf
592,44,4b,0000000000000250,36c396eaddddfcf2,69e63ccf,02,bc,ce,72,0000000000000251,1b61cb756eeefe79,69e73ccf
593,8d,1f,0000000000000251,1b61cb756eeefe79,69e73ccf,0b,18,28,30,0000000000000252,d5b0e5bab7777f3c,6ae83cd0
594,f6,8d,0000000000000252,d5b0e5bab7777f3c,6ae83cd0,01,0a,a1,ab,0000000000000253,6ad872dd5bbbbf9e,6be83cd0
595,3f,8e,0000000000000253,6ad872dd5bbbbf9e,6be83cd0,02,8f,28,a7,0000000000000254,356c396eaddddfcf,6be93cd0
596,61,c4,0000000000000254,356c396eaddddfcf,6be93cd0,0f,ba,4c,f6,0000000000000255,c2b61cb756eeefe7,6cea3dd1
597,a8,bc,0000000000000255,c2b61cb756eeefe7,6cea3dd1,0a,cd,8c,41,0000000000000256,b95b0e5bab7777f3,6ceb3dd2
598,13,ff,0000000000000256,b95b0e5bab7777f3,6ceb3dd2,03,82,78,fa,0000000000000257,84ad872dd5bbbbf9,6dec3dd2
599,5a,4a,0000000000000257,84ad872dd5bbbbf9,6dec3dd2,06,e2,7d,9f,0000000000000258,9a56c396eaddddfc,6ded3ed2
600,8e,50,0000000000000258,9a56c396eaddddfc,6ded3ed2,02,ce,5a,94,0000000000000259,4d2b61cb756eeefe,6dee3ed2
601,f7,ac,0000000000000259,4d2b61cb756eeefe,6dee3ed2,05,9b,c4,5f,000000000000025a,2695b0e5bab7777f,6eee3fd2
602,3c,1c,000000000000025a,2695b0e5bab7777f,6eee3fd2,00,a7,05,a2,000000000000025b,cb4ad872dd5bbbbf,6eee3fd2
603,65,87,000000000000025b,cb4ad872dd5bbbbf,6eee3fd2,02,cb,3b,f0,000000000000025c,bda56c396eaddddf,6eef3fd2
604,ab,65,000000000000025c,bda56c396eaddddf,6eef3fd2,07,56,d8,8e,000000000000025d,86d2b61cb756eeef,6ff040d2
605,12,7b,000000000000025d,86d2b61cb756eeef,6ff040d2,06,e2,63,81,000000000000025e,9b695b0e5bab7777,6ff141d2
606,59,98,000000000000025e,9b695b0e5bab7777,6ff141d2,0c,4b,1e,55,000000000000025f,95b4ad872dd5bbbb,6ff142d3
