byte,input,output,counter_before,lfsr_before,positions_before,step_mask,center_mask,center_input,center_output,counter_after,lfsr_after,positions_after
134,17,60,0000000000000086,59465e32e87b7eff,81fc51f6,02,7c,40,3c,0000000000000087,f4a32f19743dbf7f,81fd51f6
135,5e,f8,0000000000000087,f4a32f19743dbf7f,81fd51f6,0d,2f,f6,d9,0000000000000088,a251978cba1edfbf,82fd52f7
136,ea,61,0000000000000088,a251978cba1edfbf,82fd52f7,09,13,b0,a3,0000000000000089,8928cbc65d0f6fdf,83fd52f8
137,33,5d,0000000000000089,8928cbc65d0f6fdf,83fd52f8,0c,0d,10,1d,000000000000008a,9c9465e32e87b7ef,83fd53f9
138,78,cd,000000000000008a,9c9465e32e87b7ef,83fd53f9,06,45,9c,d9,000000000000008b,964a32f19743dbf7,83fe54f9
139,81,6f,000000000000008b,964a32f19743dbf7,83fe54f9,07,b6,65,d3,000000000000008c,93251978cba1edfb,84ff55f9
140,cf,72,000000000000008c,93251978cba1edfb,84ff55f9,0a,45,59,1c,000000000000008d,91928cbc65d0f6fd,840055fa
141,16,db,000000000000008d,91928cbc65d0f6fd,840055fa,09,13,8f,9c,000000000000008e,90c9465e32e87b7e,850055fb
142,5d,2f,000000000000008e,90c9465e32e87b7e,850055fb,0e,76,ab,dd,000000000000008f,4864a32f19743dbf,850156fc
143,e4,0c,000000000000008f,4864a32f19743dbf,850156fc,09,8c,f4,78,0000000000000090,fc3251978cba1edf,860156fd
144,34,e3,0000000000000090,fc3251978cba1edf,860156fd,03,2f,82,ad,0000000000000091,a61928cbc65d0f6f,870256fd
145,7d,dd,0000000000000091,a61928cbc65d0f6f,870256fd,04,fc,ea,16,0000000000000092,8b0c9465e32e87b7,870257fd
146,86,fe,0000000000000092,8b0c9465e32e87b7,870257fd,0a,84,29,ad,0000000000000093,9d864a32f19743db,870357fe
147,cf,13,0000000000000093,9d864a32f19743db,870357fe,02,e2,93,71,0000000000000094,96c3251978cba1ed,870457fe
148,11,e4,0000000000000094,96c3251978cba1ed,870457fe,06,69,81,e8,0000000000000095,9361928cbc65d0f6,870558fe
149,58,a1,0000000000000095,9361928cbc65d0f6,870558fe,06,50,19,49,0000000000000096,49b0c9465e32e87b,870659fe
150,e3,22,0000000000000096,49b0c9465e32e87b,870659fe,0f,15,2b,3e,0000000000000097,fcd864a32f19743d,88075aff
151,2a,e1,0000000000000097,fcd864a32f19743d,88075aff,04,3f,a9,96,0000000000000098,a66c3251978cba1e,88075bff
152,7e,63,0000000000000098,a66c3251978cba1e,88075bff,0f,5d,3f,62,0000000000000099,53361928cbc65d0f,89085c00
153,87,cd,0000000000000099,53361928cbc65d0f,89085c00,01,f7,41,b6,000000000000009a,f19b0c9465e32e87,8a085c00
154,cc,cc,000000000000009a,f19b0c9465e32e87,8a085c00,04,00,b9,b9,000000000000009b,a0cd864a32f19743,8a085d00
155,15,3f,000000000000009b,a0cd864a32f19743,8a085d00,05,96,b1,27,000000000000009c,8866c3251978cba1,8b085e00
156,5b,e1,000000000000009c,8866c3251978cba1,8b085e00,04,dc,b9,65,000000000000009d,9c3361928cbc65d0,8b085f00
157,e2,27,000000000000009d,9c3361928cbc65d0,8b085f00,05,3b,55,6e,000000000000009e,4e19b0c9465e32e8,8c086000
158,29,da,000000000000009e,4e19b0c9465e32e8,8c086000,06,c0,45,85,000000000000009f,270cd864a32f1974,8c096100
159,70,54,000000000000009f,270cd864a32f1974,8c096100,0c,7e,d5,ab,00000000000000a0,13866c3251978cba,8c096201
160,88,e2,00000000000000a0,13866c3251978cba,8c096201,0a,6a,21,4b,00000000000000a1,09c3361928cbc65d,8c0a6202
161,c1,e4,00000000000000a1,09c3361928cbc65d,8c0a6202,0f,be,82,3c,00000000000000a2,dce19b0c9465e32e,8d0b6303
162,1a,d9,00000000000000a2,dce19b0c9465e32e,8d0b6303,0f,d8,5a,82,00000000000000a3,6e70cd864a32f197,8e0c6404
163,53,90,00000000000000a3,6e70cd864a32f197,8e0c6404,0e,ae,66,c8,00000000000000a4,ef3866c3251978cb,8e0d6505
164,ed,a5,00000000000000a4,ef3866c3251978cb,8e0d6505,0e,e1,2f,ce,00000000000000a5,af9c3361928cbc65,8e0e6606
165,24,ee,00000000000000a5,af9c3361928cbc65,8e0e6606,0f,9b,e8,73,00000000000000a6,8fce19b0c9465e32,8f0f6707
166,7f,da,00000000000000a6,8fce19b0c9465e32,8f0f6707,03,14,d5,c1,00000000000000a7,47e70cd864a32f19,90106707
167,b6,e4,00000000000000a7,47e70cd864a32f19,90106707,0e,c5,f6,33,00000000000000a8,fbf3866c3251978c,90116808
168,c2,22,00000000000000a8,fbf3866c3251978c,90116808,09,9b,97,0c,00000000000000a9,7df9c3361928cbc6,91116809
169,1b,99,00000000000000a9,7df9c3361928cbc6,91116809,06,ea,5c,b6,00000000000000aa,3efce19b0c9465e3,91126909
170,50,d1,00000000000000aa,3efce19b0c9465e3,91126909,08,1d,3f,22,00000000000000ab,c77e70cd864a32f1,9112690a
171,e9,fc,00000000000000ab,c77e70cd864a32f1,9112690a,04,96,d9,4f,00000000000000ac,bbbf3866c3251978,91126a0a
172,27,8d,00000000000000ac,bbbf3866c3251978,91126a0a,07,98,9d,05,00000000000000ad,5ddf9c3361928cbc,92136b0a
173,7e,96,00000000000000ad,5ddf9c3361928cbc,92136b0a,0c,14,a6,b2,00000000000000ae,2eefce19b0c9465e,92136c0b
174,b5,0b,00000000000000ae,2eefce19b0c9465e,92136c0b,04,f1,79,88,00000000000000af,1777e70cd864a32f,92136d0b
175,cc,8a,00000000000000af,1777e70cd864a32f,92136d0b,03,88,7b,f3,00000000000000b0,d3bbf3866c325197,93146d0b
176,1c,8b,00000000000000b0,d3bbf3866c325197,93146d0b,0d,77,23,54,00000000000000b1,b1ddf9c3361928cb,94146e0c
177,55,13,00000000000000b1,b1ddf9c3361928cb,94146e0c,03,9e,7a,e4,00000000000000b2,80eefce19b0c9465,95156e0c
178,ee,68,00000000000000b2,80eefce19b0c9465,95156e0c,08,9a,25,bf,00000000000000b3,98777e70cd864a32,95156e0d
179,27,ed,00000000000000b3,98777e70cd864a32,95156e0d,07,f2,f5,07,00000000000000b4,4c3bbf3866c32519,96166f0d
180,79,3f,00000000000000b4,4c3bbf3866c32519,96166f0d,0a,66,cb,ad,00000000000000b5,fe1ddf9c3361928c,96176f0e
181,b0,35,00000000000000b5,fe1ddf9c3361928c,96176f0e,04,af,68,c7,00000000000000b6,7f0eefce19b0c946,9617700e
182,cb,c3,00000000000000b6,7f0eefce19b0c946,9617700e,06,5a,e8,b2,00000000000000b7,3f8777e70cd864a3,9618710e
183,02,d9,00000000000000b7,3f8777e70cd864a3,9618710e,0b,b4,c6,72,00000000000000b8,c7c3bbf3866c3251,9719710f
184,56,29,00000000000000b8,c7c3bbf3866c3251,9719710f,0e,1a,79,63,00000000000000b9,bbe1ddf9c3361928,971a7210
185,ef,5d,00000000000000b9,bbe1ddf9c3361928,971a7210,09,cc,65,a9,00000000000000ba,5df0eefce19b0c94,981a7211
186,24,65,00000000000000ba,5df0eefce19b0c94,981a7211,08,fc,04,f8,00000000000000bb,2ef8777e70cd864a,981a7212
187,7d,e5,00000000000000bb,2ef8777e70cd864a,981a7212,08,28,1c,34,00000000000000bc,177c3bbf3866c325,981a7213
188,b3,59,00000000000000bc,177c3bbf3866c325,981a7213,00,ae,f9,57,00000000000000bd,d3be1ddf9c336192,981a7213
189,ca,b4,00000000000000bd,d3be1ddf9c336192,981a7213,0a,06,df,d9,00000000000000be,69df0eefce19b0c9,981b7214
190,01,a6,00000000000000be,69df0eefce19b0c9,981b7214,0e,0c,a5,a9,00000000000000bf,ecef8777e70cd864,981c7315
191,58,a1,00000000000000bf,ecef8777e70cd864,981c7315,03,4d,5f,12,00000000000000c0,7677c3bbf3866c32,991d7315
192,f0,c7,00000000000000c0,7677c3bbf3866c32,991d7315,0b,41,97,d6,00000000000000c1,3b3be1ddf9c33619,9a1e7316
193,39,03,00000000000000c1,3b3be1ddf9c33619,9a1e7316,05,b1,03,b2,00000000000000c2,c59df0eefce19b0c,9b1e7416
194,62,bd,00000000000000c2,c59df0eefce19b0c,9b1e7416,08,4f,5e,11,00000000000000c3,62cef8777e70cd86,9b1e7417
195,ab,37,00000000000000c3,62cef8777e70cd86,9b1e7417,0e,4d,54,19,00000000000000c4,31677c3bbf3866c3,9b1f7518
196,d5,1c,00000000000000c4,31677c3bbf3866c3,9b1f7518,00,04,a1,a5,00000000000000c5,c0b3be1ddf9c3361,9b1f7518
197,1c,1b,00000000000000c5,c0b3be1ddf9c3361,9b1f7518,07,bb,a5,1e,00000000000000c6,b859df0eefce19b0,9c207618
198,47,dc,00000000000000c6,b859df0eefce19b0,9c207618,0b,2f,3d,12,00000000000000c7,5c2cef8777e70cd8,9d217619
199,8e,51,00000000000000c7,5c2cef8777e70cd8,9d217619,02,86,74,f2,00000000000000c8,2e1677c3bbf3866c,9d227619
