# TensorLUT M4 cold-start
# netlist=enigma_m4_netlist.json
# LUTs=925 DFFs=49 inits=59200
# crib_pt=TEST crib_ct=YCPY grundstellung=AAA (L=0 M=0 R=0)
# pop=12 explore=250 squeeze=500 lambdaMax=10.0 seed=2119188496
# phase gen bestCrypto bestFitness lambda nonBinary
squeeze 436 -4.263807 -3171.762939 0.9134 19631
squeeze 437 -4.423868 -3213.839600 0.9269 19616
squeeze 438 -4.956738 -3253.718262 0.9404 19595
squeeze 439 -4.944494 -3300.047852 0.9541 19585
squeeze 440 -4.899085 -3337.082764 0.9679 19563
squeeze 441 -4.825865 -3378.467773 0.9818 19530
squeeze 442 -4.758864 -3423.372314 0.9958 19511
squeeze 443 -5.113501 -3458.547852 1.0098 19458
squeeze 444 -4.879599 -3500.409668 1.0240 19426
squeeze 445 -4.768799 -3540.006348 1.0383 19397
squeeze 446 -4.599830 -3581.777588 1.0526 19385
squeeze 447 -5.309677 -3625.260498 1.0671 19360
squeeze 448 -5.703359 -3667.937744 1.0817 19341
squeeze 449 -5.175201 -3710.008057 1.0963 19281
squeeze 450 -4.913010 -3753.191162 1.1111 19290
squeeze 451 -5.167973 -3796.151611 1.1260 19230
squeeze 452 -4.909416 -3839.541260 1.1409 19221
squeeze 453 -4.904826 -3884.821289 1.1560 19207
squeeze 454 -6.560565 -3928.644287 1.1712 19189
squeeze 455 -4.884992 -3977.275879 1.1864 19202
squeeze 456 -4.324689 -4017.138428 1.2018 19161
squeeze 457 -5.291709 -4058.755127 1.2172 19082
squeeze 458 -5.291709 -4110.556641 1.2328 19082
squeeze 459 -4.530428 -4154.775879 1.2484 19115
squeeze 460 -4.566484 -4198.507324 1.2642 19091
squeeze 461 -3.886644 -4248.411133 1.2800 19145
squeeze 462 -4.367181 -4291.216309 1.2960 19057
squeeze 463 -4.388603 -4338.480957 1.3120 19039
squeeze 464 -4.297886 -4376.239258 1.3282 19002
squeeze 465 -4.198351 -4427.010742 1.3444 19016
squeeze 466 -3.859308 -4474.900391 1.3608 18976
